layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,282,0.4319874807990842,2.8207934,umbrella,2.7890584,sleeping bag,2.3495026,Shih Tzu,2.1113503,tent,0.3474209606647491,0.3168933391571045
layer4,283,0.31339547806124,2.0422676,fastener,0.9930512,musteline mammal,0.69757384,monkey,0.4385952,macaque,0.2880442142486572,0.3220026195049286
layer4,284,0.3973345711469918,5.1995826,temple,3.1082253,apse,2.4151518,shoes,2.1882453,belfry,0.3946920037269592,0.3969184160232544
layer4,285,0.5698915445463916,3.471363,wind instrument,3.1850486,lobster,2.9119124,crab,0.86542386,crustacean,0.4381361901760101,0.5516480207443237
layer4,286,0.3389838194642198,3.320268,plate,3.0883658,baby,2.1288216,snuggle,1.7986253,potter's wheel,0.3336352109909057,0.3671603798866272
layer4,287,0.4278089859807928,5.8618255,canyon,1.5704635,gyromitra,1.3196481,lizard,1.2428057,fungus,0.3253941237926483,0.39587104320526123
layer4,288,0.3800782093931805,5.1771197,reflex camera,2.4770622,frog,2.044814,flute,1.6212187,reptile,0.3711338937282562,0.35188254714012146
layer4,289,0.5089275226351507,6.7814074,keyboard,6.0833573,stone wall,4.4232645,typewriter,2.044739,typewriter keyboard,0.5986518859863281,0.5067883133888245
layer4,290,0.240584142377598,3.539919,bottle cap,2.3012023,timepiece,2.0116048,plectrum,2.0073388,ball,0.4401153326034546,0.2481779307126999
layer4,291,0.3077488194922046,5.368126,phone,3.9741662,carbonara,2.869409,sea anemone,1.9791764,Komondor,0.4354709386825561,0.3833176791667938
layer4,292,0.2439470280750878,2.2369301,rock beauty fish,1.8262169,guitar,1.7969203,toucan,1.7331705,plectrum,0.39438197016716,0.26800909638404846
layer4,293,0.2340294531498428,3.0852966,chainsaw,2.8333993,bottle cap,2.361829,chameleon,2.2468033,sombrero,0.4937834441661834,0.20312190055847168
layer4,294,0.3673846581198997,3.7592154,brake,2.1740606,moped,1.9060388,electronic device,0.8517622,disc brake,0.2894656062126159,0.33716362714767456
layer4,295,0.3433662554620147,4.677811,knife,4.4263487,hand tool,3.0421865,split-rail fence,2.6056902,guillotine,0.3763037621974945,0.4185640811920166
layer4,296,0.4717257865651098,4.62631,supper,4.0136294,bath,3.7704616,kit,2.330218,sink,0.363149881362915,0.46736037731170654
layer4,297,0.347622764623665,3.0564659,tower,2.19312,guillotine,1.6640587,wild dog,1.1180547,stinkhorn mushroom,0.3656211793422699,0.3131815195083618
layer4,298,0.2962900258343495,2.8299665,appliance,2.3253884,block plane,1.0475838,boat,0.93057805,ship,0.3862269818782806,0.2521754801273346
layer4,299,0.4592627490025316,2.8768647,greyhound,2.778694,Weimaraner,1.9316343,ferret,1.8735076,schnauzer,0.3348934650421142,0.4548483192920685
layer4,300,0.5149453929687968,7.616434,paddle,4.4880853,swim,4.196748,seabird,3.8915055,swimming,0.5457316040992737,0.514419436454773
layer4,301,0.4343619193073779,9.604699,quay,5.0532784,cruise,3.6175196,park,3.3928957,slide,0.4375414848327636,0.38601067662239075
layer4,302,0.5287453163263229,2.4274123,Scottish Terrier,2.282982,terrier,1.310605,Sealyham Terrier,0.85748327,West Highland White Terrier,0.4520686268806457,0.5152803659439087
layer4,303,0.2969723098667203,2.812161,bony fish,2.2802894,guinea pig,2.1769993,sleeping,1.7138839,aquarium,0.4330015182495117,0.3225955665111542
layer4,304,0.3094915716512944,3.277648,tank,2.7216291,cassette,2.7025263,dishwasher,2.0643678,mousetrap,0.39289391040802,0.2885865867137909
layer4,305,0.3926521151071978,4.458635,church,3.8831973,motorcar,2.1861026,retriever,1.1819097,hound,0.4162726402282715,0.36471623182296753
layer4,306,0.3463154195005113,4.8880715,branch,2.0164726,howler monkey,1.7268916,indri,1.5660456,proboscis monkey,0.4016925096511841,0.36468973755836487
layer4,307,0.4598275029626814,3.411876,teapot,3.1842883,through arch bridge,1.922603,arch,1.781255,bird,0.3604904115200043,0.4186847507953644
